Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
BUNDESLIGA,08/01/2022,Eintracht Frankfurt,Borussia Dortmund,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,08/01/2022,RB Leipzig,1. FSV Mainz 05,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,08/01/2022,SC Freiburg,Arminia Bielefeld,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,08/01/2022,SpVgg Greuther Fürth 1903,VfB Stuttgart,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,08/01/2022,TSG 1899 Hoffenheim,FC Augsburg,3,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,09/01/2022,Hertha BSC,1. FC Köln,1,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,09/01/2022,VfL Bochum 1848,VfL Wolfsburg,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/01/2022,Borussia Dortmund,SC Freiburg,5,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/01/2022,1. FC Köln,FC Bayern München,0,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/01/2022,1. FC Union Berlin,TSG 1899 Hoffenheim,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/01/2022,1. FSV Mainz 05,VfL Bochum 1848,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/01/2022,Borussia Mönchengladbach,Bayer 04 Leverkusen,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/01/2022,VfB Stuttgart,RB Leipzig,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/01/2022,VfL Wolfsburg,Hertha BSC,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/01/2022,Arminia Bielefeld,SpVgg Greuther Fürth 1903,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,16/01/2022,FC Augsburg,Eintracht Frankfurt,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,21/01/2022,Eintracht Frankfurt,Arminia Bielefeld,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/01/2022,Bayer 04 Leverkusen,FC Augsburg,5,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/01/2022,Borussia Mönchengladbach,1. FC Union Berlin,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/01/2022,SC Freiburg,VfB Stuttgart,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/01/2022,SpVgg Greuther Fürth 1903,1. FSV Mainz 05,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/01/2022,TSG 1899 Hoffenheim,Borussia Dortmund,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,22/01/2022,VfL Bochum 1848,1. FC Köln,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/01/2022,Hertha BSC,FC Bayern München,1,4,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,23/01/2022,RB Leipzig,VfL Wolfsburg,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,04/02/2022,Hertha BSC,VfL Bochum 1848,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/02/2022,1. FC Köln,SC Freiburg,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/02/2022,1. FSV Mainz 05,TSG 1899 Hoffenheim,2,0,H,BUNDESLIGA,2021-22,openfootball
